15:59:36 | INFO    | openrecall.server.video.worker | VideoProcessingWorker started
15:59:36 | INFO    | openrecall.server.app | Video Processing Worker started successfully.
 * Serving Flask app 'openrecall.server.app'
 * Debug mode: on
15:59:36 | DEBUG   | openrecall.server.database.migrations.runner | Migration v1 already applied, skipping
15:59:36 | DEBUG   | openrecall.server.database.migrations.runner | Migration v2 already applied, skipping
15:59:36 | DEBUG   | openrecall.server.database.migrations.runner | Migration v3 already applied, skipping
15:59:36 | DEBUG   | openrecall.server.database.migrations.runner | Migration v4 already applied, skipping
15:59:36 | DEBUG   | openrecall.server.database.migrations.runner | Migration v5 already applied, skipping
15:59:36 | DEBUG   | openrecall.server.database.migrations.runner | Migration v1 already applied, skipping
15:59:36 | DEBUG   | openrecall.server.database.migrations.runner | Migration v2 already applied, skipping
15:59:36 | DEBUG   | openrecall.server.database.migrations.runner | Migration v3 already applied, skipping
15:59:36 | DEBUG   | openrecall.server.database.migrations.runner | Migration v4 already applied, skipping
15:59:36 | DEBUG   | openrecall.server.database.migrations.runner | Migration v5 already applied, skipping
15:59:36 | INFO    | openrecall.server.database.sql | Database migrations ensured (version=5, elapsed=0.002s)
15:59:36 | INFO    | openrecall.server.ai.providers | OpenAIProvider configured: base=https://api.siliconflow.cn/v1 model=Qwen/Qwen3-VL-8B-Instruct
15:59:36 | INFO    | openrecall.server.worker | 🤖 AI Engine initialized: vision=openai, ocr=doctr, embedding=openai, rerank=api(Qwen/Qwen3-Reranker-0.6B)
15:59:36 | INFO    | openrecall.server.database.sql | Database migrations ensured (version=5, elapsed=0.002s)
15:59:36 | INFO    | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:18083
15:59:36 | INFO    | werkzeug | [33mPress CTRL+C to quit[0m
15:59:44 | INFO    | werkzeug | 127.0.0.1 - - [09/Feb/2026 15:59:44] "POST /api/heartbeat HTTP/1.1" 200 -
15:59:49 | INFO    | werkzeug | 127.0.0.1 - - [09/Feb/2026 15:59:49] "POST /api/heartbeat HTTP/1.1" 200 -
15:59:54 | INFO    | werkzeug | 127.0.0.1 - - [09/Feb/2026 15:59:54] "POST /api/heartbeat HTTP/1.1" 200 -
15:59:59 | INFO    | werkzeug | 127.0.0.1 - - [09/Feb/2026 15:59:59] "POST /api/heartbeat HTTP/1.1" 200 -
16:00:04 | INFO    | werkzeug | 127.0.0.1 - - [09/Feb/2026 16:00:04] "POST /api/heartbeat HTTP/1.1" 200 -
16:00:09 | INFO    | werkzeug | 127.0.0.1 - - [09/Feb/2026 16:00:09] "POST /api/heartbeat HTTP/1.1" 200 -
16:00:14 | INFO    | werkzeug | 127.0.0.1 - - [09/Feb/2026 16:00:14] "POST /api/heartbeat HTTP/1.1" 200 -
16:00:19 | INFO    | werkzeug | 127.0.0.1 - - [09/Feb/2026 16:00:19] "POST /api/heartbeat HTTP/1.1" 200 -
16:00:24 | INFO    | werkzeug | 127.0.0.1 - - [09/Feb/2026 16:00:24] "POST /api/heartbeat HTTP/1.1" 200 -
16:00:29 | INFO    | werkzeug | 127.0.0.1 - - [09/Feb/2026 16:00:29] "POST /api/heartbeat HTTP/1.1" 200 -
16:00:34 | INFO    | werkzeug | 127.0.0.1 - - [09/Feb/2026 16:00:34] "POST /api/heartbeat HTTP/1.1" 200 -
16:00:39 | INFO    | werkzeug | 127.0.0.1 - - [09/Feb/2026 16:00:39] "POST /api/heartbeat HTTP/1.1" 200 -
16:00:44 | INFO    | werkzeug | 127.0.0.1 - - [09/Feb/2026 16:00:44] "POST /api/heartbeat HTTP/1.1" 200 -
16:00:49 | INFO    | werkzeug | 127.0.0.1 - - [09/Feb/2026 16:00:49] "POST /api/heartbeat HTTP/1.1" 200 -
16:00:54 | INFO    | werkzeug | 127.0.0.1 - - [09/Feb/2026 16:00:54] "POST /api/heartbeat HTTP/1.1" 200 -
16:00:59 | INFO    | werkzeug | 127.0.0.1 - - [09/Feb/2026 16:00:59] "POST /api/heartbeat HTTP/1.1" 200 -
16:01:04 | INFO    | werkzeug | 127.0.0.1 - - [09/Feb/2026 16:01:04] "POST /api/heartbeat HTTP/1.1" 200 -
16:01:09 | INFO    | werkzeug | 127.0.0.1 - - [09/Feb/2026 16:01:09] "POST /api/heartbeat HTTP/1.1" 200 -
16:01:14 | INFO    | werkzeug | 127.0.0.1 - - [09/Feb/2026 16:01:14] "POST /api/heartbeat HTTP/1.1" 200 -
16:01:19 | INFO    | werkzeug | 127.0.0.1 - - [09/Feb/2026 16:01:19] "POST /api/heartbeat HTTP/1.1" 200 -
16:01:24 | INFO    | werkzeug | 127.0.0.1 - - [09/Feb/2026 16:01:24] "POST /api/heartbeat HTTP/1.1" 200 -
16:01:29 | INFO    | werkzeug | 127.0.0.1 - - [09/Feb/2026 16:01:29] "POST /api/heartbeat HTTP/1.1" 200 -
16:01:30 | INFO    | werkzeug | 127.0.0.1 - - [09/Feb/2026 16:01:30] "GET /api/upload/status?checksum=sha256:6c18fc0dc9dc926890c92a378cdbfbe8b3475d2a531f0e71828cae794ef1218b HTTP/1.1" 200 -
16:01:30 | DEBUG   | openrecall.server.api | 📥 Legacy /api/upload detected video payload; forwarding to v1 video handler
16:01:30 | INFO    | werkzeug | 127.0.0.1 - - [09/Feb/2026 16:01:30] "[35m[1mPOST /api/upload HTTP/1.1[0m" 202 -
16:01:32 | INFO    | openrecall.server.video.worker | Processing video chunk 1: /Users/tiiny/MRS/video_chunks/6c18fc0dc9dc926890c92a378cdbfbe8b3475d2a531f0e71828cae794ef1218b.mp4
16:01:34 | INFO    | werkzeug | 127.0.0.1 - - [09/Feb/2026 16:01:34] "POST /api/heartbeat HTTP/1.1" 200 -
16:01:37 | INFO    | openrecall.server.video.frame_extractor | Extracted 21 raw frames, kept 10 after dedup (threshold=0.95) from chunk 1
16:01:37 | DEBUG   | openrecall.server.video.processor | Frame 0 metadata resolved: source=chunk app=Code window=client_chunk_process.log — MyRecall
16:01:40 | INFO    | werkzeug | 127.0.0.1 - - [09/Feb/2026 16:01:40] "POST /api/heartbeat HTTP/1.1" 200 -
