10:55:07 | INFO    | openrecall.server.database.frames_store | claim_frame: winner capture_id=019cf9b0-fec2-752c-acfa-0bfba2ce36d4 frame_id=5547
10:55:07 | INFO    | openrecall.server.api_v1 | ingest: 201 Created capture_id=019cf9b0-fec2-752c-acfa-0bfba2ce36d4 frame_id=5547 request_id=6f98c5c3-d9ca-4f6b-84f1-e8408e5e4b34
10:55:07 | INFO    | werkzeug | 127.0.0.1 - - [17/Mar/2026 10:55:07] "[35m[1mPOST /v1/ingest HTTP/1.1[0m" 201 -
10:55:07 | INFO    | werkzeug | 127.0.0.1 - - [17/Mar/2026 10:55:07] "POST /api/heartbeat HTTP/1.1" 200 -
10:55:07 | INFO    | openrecall.server.database.frames_store | DEBUG: simhash type=<class 'int'>, value=16458939406042710059
10:55:07 | INFO    | openrecall.server.database.frames_store | DEBUG: converted simhash to signed=-1987804667666841557
10:55:07 | INFO    | openrecall.server.database.frames_store | DEBUG claim_frame: capture_id=019cf9b1-13d3-7136-ab16-8b16d2a1e24c, simhash=-1987804667666841557, metadata keys=['timestamp', 'capture_trigger', 'device_name', 'event_ts', 'app_name', 'window_name', 'active_app', 'active_window', 'last_known_app', 'last_known_window', 'simhash', 'capture_id', 'ingested_at', 'image_size_bytes']
10:55:07 | INFO    | openrecall.server.database.frames_store | claim_frame: winner capture_id=019cf9b1-13d3-7136-ab16-8b16d2a1e24c frame_id=5548
10:55:07 | INFO    | openrecall.server.api_v1 | ingest: 201 Created capture_id=019cf9b1-13d3-7136-ab16-8b16d2a1e24c frame_id=5548 request_id=9b8ac4a5-1198-4afc-9abf-02dad98f24f7
10:55:07 | INFO    | werkzeug | 127.0.0.1 - - [17/Mar/2026 10:55:07] "[35m[1mPOST /v1/ingest HTTP/1.1[0m" 201 -
10:55:07 | INFO    | openrecall.server.database.frames_store | DEBUG claim_frame: capture_id=019cf9b1-1910-7b13-90a0-9cb8591e3059, simhash=None, metadata keys=['timestamp', 'capture_trigger', 'device_name', 'event_ts', 'app_name', 'window_name', 'active_app', 'active_window', 'last_known_app', 'last_known_window', 'capture_id', 'ingested_at', 'image_size_bytes']
