10:55:07 | INFO    | openrecall.client | ==================================================
10:55:07 | INFO    | openrecall.client | OpenRecall Client Starting
10:55:07 | INFO    | openrecall.client | ==================================================
10:55:07 | INFO    | openrecall.client | Debug mode: ON
10:55:07 | INFO    | openrecall.client | Buffer path: /Users/pyw/MRC/buffer
10:55:07 | INFO    | openrecall.client | Client screenshots: /Users/pyw/MRC/screenshots (enabled=False)
10:55:07 | INFO    | openrecall.client | Cache folder: /Users/pyw/MRS/cache
10:55:07 | INFO    | openrecall.client | Server API: http://localhost:8083/api
10:55:07 | INFO    | openrecall.client | Min capture interval: 3000ms
10:55:07 | INFO    | openrecall.client | Idle capture interval: 60000ms
10:55:07 | INFO    | openrecall.client | Simhash dedup: click=True, app_switch=False
10:55:07 | INFO    | openrecall.client | Trigger queue capacity: 1000
10:55:07 | INFO    | openrecall.client | Upload timeout: 180s
10:55:07 | INFO    | openrecall.client | Primary monitor only: True
10:55:07 | INFO    | openrecall.client | ==================================================
10:55:07 | INFO    | openrecall.client.recorder | 🎥 Recorder started (Producer-Consumer mode)
10:55:07 | INFO    | openrecall.client.recorder |    Monitors: Primary only
10:55:07 | INFO    | openrecall.client.v3_uploader | v3_uploader: SpoolUploader started | residual=35
10:55:07 | INFO    | openrecall.client.v3_uploader | v3_uploader: 201 queued capture_id=019cf9b0-3238-7395-9034-8d9963055949 frame_id=5545
10:55:07 | INFO    | openrecall.client.spool | spool: committed capture_id=019cf9b0-3238-7395-9034-8d9963055949 remaining=34
10:55:07 | INFO    | openrecall.client.v3_uploader | v3_uploader: 201 queued capture_id=019cf9b0-b558-763b-9119-bee12e49366f frame_id=5546
10:55:07 | INFO    | openrecall.client.spool | spool: committed capture_id=019cf9b0-b558-763b-9119-bee12e49366f remaining=33
10:55:07 | INFO    | openrecall.client.events.base | device_name binding added: monitor_1; rebuilding partition state
10:55:07 | INFO    | openrecall.client.v3_uploader | v3_uploader: 201 queued capture_id=019cf9b0-fec2-752c-acfa-0bfba2ce36d4 frame_id=5547
10:55:07 | INFO    | openrecall.client.events.macos | App switch monitor started in polling mode
10:55:07 | INFO    | openrecall.client.recorder |    Tracking 1 monitor(s)
10:55:07 | INFO    | openrecall.client.spool | spool: committed capture_id=019cf9b0-fec2-752c-acfa-0bfba2ce36d4 remaining=32
10:55:07 | DEBUG   | openrecall.client.recorder | Heartbeat synced: recording=True, upload=True
10:55:07 | INFO    | openrecall.client.v3_uploader | v3_uploader: 201 queued capture_id=019cf9b1-13d3-7136-ab16-8b16d2a1e24c frame_id=5548
10:55:07 | DEBUG   | openrecall.client.events.macos | CGEventTap started with TailAppend placement
10:55:07 | INFO    | openrecall.client.spool | spool: committed capture_id=019cf9b1-13d3-7136-ab16-8b16d2a1e24c remaining=31
